Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-100.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 63, 'rec_avg_loss': '0.00002932', 'rec_cur_loss': '0.00002543', 'total training time': '198.3312', 'max mem': '285'}
{'epoch': 64, 'rec_avg_loss': '0.00002870', 'rec_cur_loss': '0.00001991', 'total training time': '201.3271', 'max mem': '285'}
{'epoch': 65, 'rec_avg_loss': '0.00002698', 'rec_cur_loss': '0.00002336', 'total training time': '204.4311', 'max mem': '285'}
{'epoch': 66, 'rec_avg_loss': '0.00002568', 'rec_cur_loss': '0.00004225', 'total training time': '207.3484', 'max mem': '285'}
{'epoch': 67, 'rec_avg_loss': '0.00002574', 'rec_cur_loss': '0.00002601', 'total training time': '210.4195', 'max mem': '285'}
{'epoch': 68, 'rec_avg_loss': '0.00002469', 'rec_cur_loss': '0.00002415', 'total training time': '213.3683', 'max mem': '285'}
{'epoch': 69, 'rec_avg_loss': '0.00002261', 'rec_cur_loss': '0.00012031', 'total training time': '216.2323', 'max mem': '285'}
{'epoch': 70, 'rec_avg_loss': '0.00002276', 'rec_cur_loss': '0.00002775', 'total training time': '219.2755', 'max mem': '285'}
{'epoch': 71, 'rec_avg_loss': '0.00002060', 'rec_cur_loss': '0.00002642', 'total training time': '222.0263', 'max mem': '285'}
{'epoch': 72, 'rec_avg_loss': '0.00001994', 'rec_cur_loss': '0.00001937', 'total training time': '225.1407', 'max mem': '285'}
{'epoch': 73, 'rec_avg_loss': '0.00001800', 'rec_cur_loss': '0.00001220', 'total training time': '228.3732', 'max mem': '285'}
{'epoch': 74, 'rec_avg_loss': '0.00001791', 'rec_cur_loss': '0.00000594', 'total training time': '231.4567', 'max mem': '285'}
{'epoch': 75, 'rec_avg_loss': '0.00001868', 'rec_cur_loss': '0.00004000', 'total training time': '234.7817', 'max mem': '285'}
