Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.txt', log_freq=1, loss_type='TOP1-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 87, 'rec_avg_loss': '0.00128843', 'rec_cur_loss': '0.00127229', 'total training time': '263.4412', 'max mem': '285'}
{'epoch': 88, 'rec_avg_loss': '0.00129932', 'rec_cur_loss': '0.00128003', 'total training time': '266.4010', 'max mem': '285'}
{'epoch': 89, 'rec_avg_loss': '0.00128764', 'rec_cur_loss': '0.00128987', 'total training time': '269.6101', 'max mem': '285'}
{'epoch': 90, 'rec_avg_loss': '0.00128381', 'rec_cur_loss': '0.00148013', 'total training time': '272.4395', 'max mem': '285'}
{'epoch': 91, 'rec_avg_loss': '0.00129062', 'rec_cur_loss': '0.00121530', 'total training time': '275.7078', 'max mem': '285'}
{'epoch': 92, 'rec_avg_loss': '0.00129510', 'rec_cur_loss': '0.00126595', 'total training time': '278.5171', 'max mem': '285'}
{'epoch': 93, 'rec_avg_loss': '0.00128875', 'rec_cur_loss': '0.00127508', 'total training time': '281.2912', 'max mem': '285'}
{'epoch': 94, 'rec_avg_loss': '0.00129123', 'rec_cur_loss': '0.00145952', 'total training time': '284.4301', 'max mem': '285'}
{'epoch': 95, 'rec_avg_loss': '0.00127619', 'rec_cur_loss': '0.00151980', 'total training time': '287.5543', 'max mem': '285'}
{'epoch': 96, 'rec_avg_loss': '0.00126749', 'rec_cur_loss': '0.00115001', 'total training time': '290.6179', 'max mem': '285'}
